BIOGUIDE_ID;OFFICE;QUARTER;PROGRAM;CATEGORY;DATE;TRANSCODE;RECORDID;PAYEE;START DATE;END DATE;PURPOSE;AMOUNT;YEAR;RECIP (orig.)
;OFFICE OF THE MINORITY LEADER;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;03.02.17;AP;E0492345;DAVID L ANDRUKITIS INC;2/16/2017;2/16/2017;PRINTING & REPRODUCTION;120;2017;DAVID L ANDRUKITIS INC
;OFFICE OF THE MINORITY LEADER;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;3/15/2017;AP;E0496015;SMITH KELSEY L.;02.10.17;02.10.17;PRINTING & REPRODUCTION;57.03;2017;SMITH KELSEY L.
;OFFICE OF THE MAJORITY WHIP;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-COSTCO  PHOTO CENTER;01.03.17;1/28/2017;PRINTING & REPRODUCTION;114.41;2017;CITI PCARD-COSTCO  PHOTO CENTER
;OFFICE OF THE MAJORITY WHIP;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;03.08.17;AP;E0492887;SHARP ELECTRONICS CORPORATION;09.01.16;11/29/2016;PRINTING & REPRODUCTION;364.92;2016;SHARP ELECTRONICS CORPORATION
;OFFICE OF THE MINORITY WHIP;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-CANVA FOR WORK MONTHLY;01.03.17;1/28/2017;PRINTING & REPRODUCTION;12.95;2017;CITI PCARD-CANVA FOR WORK MONTHLY
;OFFICE OF THE MINORITY WHIP;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;3/21/2017;AP;912200;CITI PCARD-CANVA FOR WORK MONTHLY;1/29/2017;2/28/2017;PRINTING & REPRODUCTION;12.95;2017;CITI PCARD-CANVA FOR WORK MONTHLY
;OFFICE OF THE MINORITY WHIP;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;03.08.17;AP;E0488183;DAVID L ANDRUKITIS INC;12/20/2016;12/20/2016;PRINTING & REPRODUCTION;4586.24;2016;DAVID L ANDRUKITIS INC
;DEMOCRATIC CAUCUS;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-LAMINATION SERVICES;01.03.17;1/28/2017;PRINTING & REPRODUCTION;308;2017;CITI PCARD-LAMINATION SERVICES
;DEMOCRATIC CAUCUS;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;3/30/2017;AP;E0501958;DAVID L ANDRUKITIS INC;3/22/2017;3/22/2017;PRINTING & REPRODUCTION;67;2017;DAVID L ANDRUKITIS INC
;REPUBLICAN CONFERENCE;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-MINUTEMAN PRESS WASHIN;01.03.17;1/28/2017;PRINTING & REPRODUCTION;158.63;2017;CITI PCARD-MINUTEMAN PRESS WASHIN
;REPUBLICAN CONFERENCE;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;3/13/2017;AP;E0497149;ACCURATE WORD LLC;2/27/2017;2/27/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
;REPUBLICAN CONFERENCE;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;3/21/2017;AP;912200;CITI PCARD-GETTY IMAGES;1/29/2017;2/28/2017;PRINTING & REPRODUCTION;99;2017;CITI PCARD-GETTY IMAGES
;REPUBLICAN CONFERENCE;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;3/31/2017;AP;E0500785;BLUE RIVER PRINTING INC;3/13/2017;3/13/2017;PRINTING & REPRODUCTION;449.4;2017;BLUE RIVER PRINTING INC
;REPUBLICAN CONFERENCE;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;1/19/2017;AP;900647;CITI PCARD-GETTY IMAGES;11/29/2016;12/28/2016;PRINTING & REPRODUCTION;99;2016;CITI PCARD-GETTY IMAGES
;REPUBLICAN CONFERENCE;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;2/15/2017;AP;902712;HODSON NATHAN;10/31/2016;10/31/2016;PRINTING & REPRODUCTION;420.01;2016;HODSON NATHAN
;REPUBLICAN CONFERENCE;2017Q1;GENERAL EXPENDITURES;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-GETTY IMAGES;12/29/2016;01.02.17;PRINTING & REPRODUCTION;99;2017;CITI PCARD-GETTY IMAGES
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;01.09.17;AP;896920;DAVID L ANDRUKITIS INC;12/27/2016;12/27/2016;PRINTING & REPRODUCTION;33.5;2016;DAVID L ANDRUKITIS INC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;1/13/2017;AP;897162;DAVID L ANDRUKITIS INC;12/27/2016;12/27/2016;PRINTING & REPRODUCTION;87.5;2016;DAVID L ANDRUKITIS INC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;1/13/2017;AP;897162;DAVID L ANDRUKITIS INC;12/27/2016;12/27/2016;PRINTING & REPRODUCTION;87.5;2016;DAVID L ANDRUKITIS INC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;1/19/2017;AP;898411;DAVID L ANDRUKITIS INC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;33.5;2016;DAVID L ANDRUKITIS INC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;1/19/2017;AP;900647;CITI PCARD-WIND-NET;11/29/2016;12/28/2016;PRINTING & REPRODUCTION;3500;2016;CITI PCARD-WIND-NET
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;1/19/2017;AP;900647;CITI PCARD-WWW.ISTOCK.COM;11/29/2016;12/28/2016;PRINTING & REPRODUCTION;416;2016;CITI PCARD-WWW.ISTOCK.COM
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;1/31/2017;AP;898398;MONSTER WORLDWIDE INC;12.01.16;12/31/2016;PRINTING & REPRODUCTION;1050;2016;MONSTER WORLDWIDE INC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;2/16/2017;AP;902688;DAVID L ANDRUKITIS INC;2/14/2017;2/14/2017;PRINTING & REPRODUCTION;33.5;2017;DAVID L ANDRUKITIS INC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-ACCURATE WORD LLC;01.03.17;1/28/2017;PRINTING & REPRODUCTION;29.95;2017;CITI PCARD-ACCURATE WORD LLC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;3/14/2017;AP;E0494741;XEROX CORPORATION;10/21/2016;11/21/2016;PRINTING & REPRODUCTION;418.53;2016;XEROX CORPORATION
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;3/15/2017;AP;906678;DAVID L ANDRUKITIS INC;2/22/2017;2/22/2017;PRINTING & REPRODUCTION;62.5;2017;DAVID L ANDRUKITIS INC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;3/21/2017;AP;906625;CENTRIC BUSINESS SYSTEMS INC;11.01.16;1/31/2017;PRINTING & REPRODUCTION;359.85;2017;CENTRIC BUSINESS SYSTEMS INC
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;3/21/2017;AP;912200;CITI PCARD-ANDRUKITIS PRINTING;1/29/2017;2/28/2017;PRINTING & REPRODUCTION;87.5;2017;CITI PCARD-ANDRUKITIS PRINTING
;CHIEF ADMIN OFCR OF THE HOUSE;2017Q1;ADMIN AND OPS;PRINTING AND REPRODUCTION;3/21/2017;AP;912200;CITI PCARD-FEDEXOFFICE;1/29/2017;2/28/2017;PRINTING & REPRODUCTION;11.98;2017;CITI PCARD-FEDEXOFFICE
